NAME_1,NAME_2,yr2014,yr2022,yr2023,eq_mi
Chaouia - Ouardigha,Ben Slimane,7.868370056152344,15.080877304077148,21.330891881670272,4.6
Chaouia - Ouardigha,Khouribga,6.904846668243408,9.501500129699707,14.409085137503487,4.4
Chaouia - Ouardigha,Settat,5.356640338897705,8.721121788024902,14.42620577130999,5
Doukkala - Abda,El Jadida,5.455665111541748,9.534613609313965,16.998619897024973,5.6
Doukkala - Abda,Safi,4.307987689971924,6.030439853668213,9.798858574458531,6.4
Fès - Boulemane,Boulemane,0.5029040575027466,0.7180542349815369,4.549499307359968,3.4
Fès - Boulemane,Fès,48.245670318603516,65.09355926513672,55.30165181841169,NA
Fès - Boulemane,Sefrou,3.6605148315429688,4.790110111236572,9.290455409458705,3.4
Fès - Boulemane,Zouagha-Moulay Yacoub,21.638517379760742,32.8890380859375,28.027212687901088,NA
Gharb - Chrarda - Béni Hssen,Kénitra,10.476106643676758,12.81849193572998,20.413646834237234,NA
Gharb - Chrarda - Béni Hssen,Sidi Kacem,3.495281934738159,4.874964237213135,9.414396217891149,NA
Grand Casablanca,Casablanca,198.80308532714844,267.3446044921875,281.56566292899,4.8
Grand Casablanca,Mohammedia,388.67205810546875,452.78216552734375,523.8833435058593,4.2
Guelmim - Es-Semara,Assa-Zag,0.1041480228304863,0.22069931030273438,4.232604401452201,4
Guelmim - Es-Semara,Guelmim,0.8824701309204102,1.177881121635437,5.452029091971261,4
Guelmim - Es-Semara,Tan-Tan,0.43294376134872437,0.5901471972465515,4.777063744408744,3.8
Guelmim - Es-Semara,Tata,0.094734296202659607,0.15428347885608673,4.002655897821699,5
Laâyoune - Boujdour - Sakia El H,Laâyoune,0.21945159137248993,0.2880544662475586,4.262555122375488,NA
Marrakech - Tensift - Al Haouz,Al Haouz,1.354111909866333,1.6359540224075317,6.033664533070156,8.6
Marrakech - Tensift - Al Haouz,Chichaoua,1.0594382286071777,1.3725031614303589,6.13188031741551,8.4
Marrakech - Tensift - Al Haouz,El Kelaâ des Sraghna,2.9223310947418213,3.8957409858703613,8.27643357004438,6.6
Marrakech - Tensift - Al Haouz,Essaouira,1.4798471927642822,1.4444706439971924,5.479823350906372,6
Marrakech - Tensift - Al Haouz,Marrakech,33.035343170166016,32.27768325805664,33.80483729498727,7.2
Meknès - Tafilalet,El Hajeb,4.361644268035889,5.988596439361572,11.926082611083984,3.8
Meknès - Tafilalet,Errachidia,0.4603542685508728,0.6038239002227783,4.406394413539341,4
Meknès - Tafilalet,Ifrane,1.9867265224456787,2.926055431365967,6.603465352739606,3.8
Meknès - Tafilalet,Khénifra,1.2680177688598633,1.8003549575805664,5.656484433582851,3.8
Meknès - Tafilalet,Meknès,18.616422653198242,20.293781280517578,23.991006987435476,NA
Oriental,Berkane Taourirt,6.502925395965576,7.599145412445068,9.950071130480085,NA
Oriental,Figuig,0.23826786875724792,0.2860366404056549,3.9680179187229703,NA
Oriental,Jerada,0.7089555859565735,0.826633870601654,4.409150430134365,NA
Oriental,Nador,12.531013488769531,14.910102844238281,16.204779420580184,NA
Oriental,Oujda Angad,30.517847061157227,30.858734130859375,22.137516657511394,NA
Rabat - Salé - Zemmour - Zaer,Khémisset,1.7701846361160278,3.317721366882324,6.871981620788574,4.2
Rabat - Salé - Zemmour - Zaer,Rabat,339.346435546875,684.10406494140625,726.758534749349,NA
Rabat - Salé - Zemmour - Zaer,Salé,37.97774124145508,53.245269775390625,75.43839454650879,NA
Rabat - Salé - Zemmour - Zaer,Skhirate-Témara,35.96144104003906,61.46089172363281,75.02577590942383,4.2
Souss - Massa - Draâ,Agadir-Ida ou Tanane,20.044565200805664,24.402259826660156,23.66225746699742,5.8
Souss - Massa - Draâ,Chtouka-Aït Baha,3.596804141998291,5.462051868438721,9.265011446816581,6
Souss - Massa - Draâ,Inezgane-Aït Melloul,71.63616943359375,89.834381103515625,72.61858694893974,5.8
Souss - Massa - Draâ,Ouarzazate,0.39476069808006287,0.4983270764350891,4.254578675542559,6.4
Souss - Massa - Draâ,Taroudannt,0.9404773116111755,1.1323096752166748,5.416110958371844,7.8
Souss - Massa - Draâ,Tiznit,1.1180624961853027,1.4832412004470825,5.882699830191476,5
Souss - Massa - Draâ,Zagora,1.96519935131073,1.9240716695785522,6.34943687915802,4.8
Tadla - Azilal,Azilal,1.275979995727539,1.6686643362045288,5.887683800288609,6.4
Tadla - Azilal,Béni Mellal,7.106024265289307,9.680936813354492,14.129965441567558,5
Tanger - Tétouan,Chefchaouen,1.0613441467285156,2.029538154602051,6.5659774371555875,NA
Tanger - Tétouan,Fahs Anjra,50.948795318603516,96.33274841308594,84.45150375366211,NA
Tanger - Tétouan,Larache,5.534188270568848,7.2463274002075195,11.01475817816598,NA
Tanger - Tétouan,Tanger-Assilah,57.322540283203125,100.13044738769531,84.45468085152763,NA
Tanger - Tétouan,Tétouan,29.99128532409668,31.397891998291016,24.83087498801095,NA
Taza - Al Hoceima - Taounate,Al Hoceïma,5.242083549499512,9.623238563537598,14.125221456800189,NA
Taza - Al Hoceima - Taounate,Taounate,2.0804057121276855,2.8717565536499023,7.726459980010986,NA
Taza - Al Hoceima - Taounate,Taza,1.890055775642395,2.5392842292785645,6.7837251254490445,NA
