NAME_1,NAME_2,NAME_3,yr2014,yr2022,yr2023,eq_mi
Chaouia - Ouardigha,Ben Slimane,Ben Slimane,5.055547714233398,9.269449234008789,16.13314642404255,4.6
Chaouia - Ouardigha,Ben Slimane,Bouznika,8.783105850219727,18.49851417541504,26.476574257800454,4.4
Chaouia - Ouardigha,Ben Slimane,NA (Ben Slimane),3.3412299156188965,7.545558929443359,13.322789876549331,4.2
Chaouia - Ouardigha,Ben Slimane,NA (Bouznika),50.05915832519531,89.13353729248047,84.09635860041568,NA
Chaouia - Ouardigha,Khouribga,Bejaad,2.1222405433654785,2.6823668479919434,5.813999853636089,4.2
Chaouia - Ouardigha,Khouribga,Khouribga,16.392566680908203,22.944135665893555,26.12548698981603,4.4
Chaouia - Ouardigha,Khouribga,NA (Bejaad),33.489654541015625,56.10862350463867,49.674430161714554,4.2
Chaouia - Ouardigha,Khouribga,NA (Boujniba),4.548705577850342,8.385538101196289,16.73870708096412,4
Chaouia - Ouardigha,Khouribga,NA (Hattane),0.4739270508289337,0.009274556301534176,7.849825552754825,4
Chaouia - Ouardigha,Khouribga,NA (Khouribga),47.89207077026367,103.0951919555664,144.88113651275634,4
Chaouia - Ouardigha,Khouribga,NA (Ouad Zem),8.942304611206055,13.44491195678711,22.652887777848676,4
Chaouia - Ouardigha,Khouribga,Ouad Zem,3.3666419982910156,4.159088611602783,7.972979487599553,4.2
Chaouia - Ouardigha,Settat,Ben Ahmed,2.8816816806793213,3.6093063354492188,8.690035173767491,4.4
Chaouia - Ouardigha,Settat,Berrechid,11.620614051818848,19.771446228027344,29.16517732017919,4.6
Chaouia - Ouardigha,Settat,El Borouj,0.8078922033309937,1.345534324645996,5.542909267701601,5
Chaouia - Ouardigha,Settat,El Gara,6.47252082824707,12.903240203857422,23.22965147688582,4.6
Chaouia - Ouardigha,Settat,NA (Ben Ahmed),7.344748497009277,10.056825637817383,14.256044640260583,4.2
Chaouia - Ouardigha,Settat,NA (Berrechid),453.9186706542969,629.95001220703125,609.1617835549747,4.6
Chaouia - Ouardigha,Settat,NA (El Borouj),0,0,4.161536699894703,4.4
Chaouia - Ouardigha,Settat,NA (El Gara),0,0.12561672925949097,6.649734766252579,4
Chaouia - Ouardigha,Settat,NA (Loulad),3.135207176208496,8.398063659667969,11.843714157740274,4.2
Chaouia - Ouardigha,Settat,NA (Oulad Abbou),25.7858943939209,29.089086532592773,38.115434392293295,4.2
Chaouia - Ouardigha,Settat,NA (Oulad M'Rah),20.385169982910156,26.64654541015625,35.626712278886274,4.2
Chaouia - Ouardigha,Settat,NA (Settat),143.91427612304688,252.9652557373047,242.0640926361084,4.8
Chaouia - Ouardigha,Settat,Settat,3.642876148223877,5.8992767333984375,12.291249212465788,4.8
Doukkala - Abda,El Jadida,Azemmour,6.284536838531494,9.530526161193848,19.37428046527662,4
Doukkala - Abda,El Jadida,El Jadida,9.913846969604492,22.469629287719727,49.439620105843794,4.8
Doukkala - Abda,El Jadida,NA (Azemmour),100.62584686279297,143.8551788330078,106.59335912240518,3.8
Doukkala - Abda,El Jadida,NA (El Jadida),345.2275390625,447.8423767089844,502.1389440917969,3.8
Doukkala - Abda,El Jadida,NA (Lbir Jdid),163.23675537109375,215.1335906982422,256.44940221877323,3.6
Doukkala - Abda,El Jadida,NA (Sidi Bennour),75.41028594970703,148.44850158691406,138.55930943324648,5
Doukkala - Abda,El Jadida,NA (Zemamra),4.723104953765869,7.775010108947754,17.169663732702084,4.8
Doukkala - Abda,El Jadida,Sidi Bennou,0.9953991174697876,2.287308692932129,7.226609775894566,5.6
Doukkala - Abda,El Jadida,Sidi Smail,1.1391016244888306,2.1053333282470703,7.150832477368806,4.6
Doukkala - Abda,El Jadida,Zemamra,2.7135260105133057,3.945568799972534,15.268032406505787,5
Doukkala - Abda,Safi,Abda,0.4346969723701477,0.9690963625907898,5.514678851554268,5.6
Doukkala - Abda,Safi,Ahmar,3.083361864089966,3.8377411365509033,7.2773011503992855,6.4
Doukkala - Abda,Safi,Gzoula,4.811851978302002,6.988173961639404,11.47135013028195,5.8
Doukkala - Abda,Safi,Hrara,1.2026596069335938,2.2609636783599854,8.919987298940358,5.4
Doukkala - Abda,Safi,NA (Asfi Biyada),211.02703857421875,305.210693359375,274.5916738510132,5.2
Doukkala - Abda,Safi,NA (Asfi Boudheb),458.18927001953125,537.54351806640625,541.8816252677672,5.4
Doukkala - Abda,Safi,NA (Asfi Zaouia),383.1278991699219,515.2789306640625,553.9559335708618,5.4
Doukkala - Abda,Safi,NA (Echemmaia),14.231335639953613,29.038848876953125,29.12603540981517,5.6
Doukkala - Abda,Safi,NA (Jamaat Shaim),8.567865371704102,16.687471389770508,25.211481189727788,5.2
Doukkala - Abda,Safi,NA (Sebt Gzoula),0.5420584678649902,1.4593993425369263,10.402037208144728,5.4
Doukkala - Abda,Safi,NA (Youssoufia),0.6870628595352173,0.7886296510696411,6.604849511757493,5.6
Fès - Boulemane,Boulemane,Boulemane,0.2557491064071655,0.3629506230354309,3.3902148507736825,3.4
Fès - Boulemane,Boulemane,Missour,1.369253158569336,1.6676914691925049,5.088160814465703,NA
Fès - Boulemane,Boulemane,NA (Boulemane),4.8195271492004395,7.120946884155273,11.013058841228485,NA
Fès - Boulemane,Boulemane,NA (Imouzzer Marmoucha),6.152645111083984,13.014370918273926,14.028415456414223,NA
Fès - Boulemane,Boulemane,NA (Missour),0.8131842017173767,1.2478969097137451,5.965895252697396,NA
Fès - Boulemane,Boulemane,NA (Outat El Haj),35.095726013183594,68.29352569580078,55.47838367115367,NA
Fès - Boulemane,Boulemane,Outat El Ha,0.2197994440793991,0.37488502264022827,3.4791396115277267,NA
Fès - Boulemane,Fès,NA (Agdal),454.1932373046875,558.69085693359375,542.2165344238281,NA
Fès - Boulemane,Fès,NA (Fes Medina),318.6921691894531,403.70135498046875,363.5541745462725,NA
Fès - Boulemane,Fès,NA (Machouar Fes El Jadid),688.18145751953125,755.4287109375,642.2560099283854,NA
Fès - Boulemane,Fès,NA (Saiss),492.953857421875,578.244140625,603.1291356580011,NA
Fès - Boulemane,Fès,Oulad Tayeb,34.04507827758789,61.52058792114258,69.43416704851039,NA
Fès - Boulemane,Fès,Sans nom,6.599492073059082,12.482011795043945,19.753899068543404,NA
Fès - Boulemane,Sefrou,El Menzel,0.7697363495826721,1.2933701276779175,5.467011366341565,NA
Fès - Boulemane,Sefrou,Imouzzer Ka,8.695340156555176,12.488136291503906,16.06968429353502,3.4
Fès - Boulemane,Sefrou,NA (Bhalil),84.2371826171875,87.53490447998047,91.38680957158407,NA
Fès - Boulemane,Sefrou,NA (El Menzel),72.881805419921875,70.3598861694336,56.644347017461605,NA
Fès - Boulemane,Sefrou,NA (Imouzzer Kandar),32.183258056640625,51.66191864013672,47.801076114177704,NA
Fès - Boulemane,Sefrou,NA (Ribate El Kheir),8.550492286682129,16.887371063232422,25.38031921667211,NA
Fès - Boulemane,Sefrou,NA (Sefrou),220.96963500976562,254.0402374267578,244.47497379779816,NA
Fès - Boulemane,Sefrou,Sefrou,2.6100447177886963,3.231790065765381,7.6704344088966785,NA
Fès - Boulemane,Zouagha-Moulay Yacoub,Moulay Yaco,14.859378814697266,27.65570640563965,28.054912025864063,NA
Fès - Boulemane,Zouagha-Moulay Yacoub,NA (Moulay Yacoub),29.508169174194336,30.80190086364746,26.84763591520248,NA
Fès - Boulemane,Zouagha-Moulay Yacoub,NA (Zouagha),411.51361083984375,540.4449462890625,484.1435380415483,NA
Fès - Boulemane,Zouagha-Moulay Yacoub,Oulad Jemaa,0.885482907295227,1.5932775735855103,6.310183040193609,NA
Gharb - Chrarda - Béni Hssen,Kénitra,Kenitra Ban,8.883648872375488,12.836411476135254,17.628843139957738,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Kenitra Maamoura),306.0057373046875,291.5066833496094,284.7804802403306,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Kenitra Saknia),143.3348388671875,172.94906616210938,161.77955461950864,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Mehdia),10.544527053833008,10.443764686584473,18.175815154524408,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Sidi Slimane),0.27971360087394714,0.6277123689651489,6.646035158272946,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Sidi Yahya El Gharb),2.4028983116149902,0.5429388880729675,7.634506609290838,NA
Gharb - Chrarda - Béni Hssen,Kénitra,NA (Souk Arbaa),47.56333923339844,56.89841079711914,60.956424140930174,NA
Gharb - Chrarda - Béni Hssen,Kénitra,Sidi Sliman,5.968175411224365,6.3242621421813965,12.23796236192858,NA
Gharb - Chrarda - Béni Hssen,Kénitra,Souk Arbaa,3.8609442710876465,5.343375205993652,10.04962025748359,NA
Gharb - Chrarda - Béni Hssen,Kénitra,Souk Tlat E,2.74314284324646,4.8566484451293945,9.818858401195422,NA
